Transcript_ID,Gene_ID
mRNA705,mRNA705
mRNA706,mRNA706
mRNA707,mRNA707
mRNA708,mRNA708
mRNA709,mRNA709
mRNA710,mRNA710
mRNA711,mRNA711
mRNA712,mRNA712
mRNA713,mRNA713
mRNA714,mRNA714
mRNA715,mRNA715
mRNA716,mRNA716
mRNA717,mRNA717
mRNA718,mRNA718
mRNA719,mRNA719
mRNA720,mRNA720
mRNA721,mRNA721
mRNA722,mRNA722
mRNA723,mRNA723
mRNA724,mRNA724
mRNA725,mRNA725
mRNA726,mRNA726
mRNA727,mRNA727
mRNA728,mRNA728
mRNA729,mRNA729
mRNA730,mRNA730
mRNA731,mRNA731
mRNA732,mRNA732
mRNA733,mRNA733
mRNA734,mRNA734
mRNA735,mRNA735
mRNA736,mRNA736
mRNA737,mRNA737
mRNA738,mRNA738
mRNA739,mRNA739
mRNA740,mRNA740
mRNA741,mRNA741
mRNA742,mRNA742
mRNA743,mRNA743
mRNA744,mRNA744
mRNA745,mRNA745
mRNA746,mRNA746
mRNA747,mRNA747
mRNA748,mRNA748
mRNA749,mRNA749
mRNA750,mRNA750
mRNA751,mRNA751
mRNA752,mRNA752
mRNA753,mRNA753
mRNA754,mRNA754
mRNA755,mRNA755
mRNA756,mRNA756
mRNA757,mRNA757
mRNA758,mRNA758
mRNA759,mRNA759
mRNA760,mRNA760
mRNA761,mRNA761
mRNA762,mRNA762
mRNA763,mRNA763
mRNA764,mRNA764
mRNA765,mRNA765
mRNA766,mRNA766
mRNA767,mRNA767
mRNA768,mRNA768
mRNA769,mRNA769
mRNA770,mRNA770
mRNA771,mRNA771
mRNA772,mRNA772
mRNA773,mRNA773
mRNA774,mRNA774
mRNA775,mRNA775
mRNA776,mRNA776
mRNA777,mRNA777
mRNA778,mRNA778
mRNA779,mRNA779
mRNA780,mRNA780
mRNA781,mRNA781
mRNA782,mRNA782
mRNA783,mRNA783
mRNA784,mRNA784
mRNA785,mRNA785
mRNA786,mRNA786
mRNA787,mRNA787
mRNA788,mRNA788
mRNA789,mRNA789
mRNA790,mRNA790
mRNA791,mRNA791
mRNA792,mRNA792
mRNA793,mRNA793
mRNA794,mRNA794
mRNA795,mRNA795
mRNA796,mRNA796
mRNA797,mRNA797
mRNA798,mRNA798
mRNA799,mRNA799
mRNA800,mRNA800
mRNA801,mRNA801
mRNA802,mRNA802
mRNA803,mRNA803
mRNA804,mRNA804
mRNA805,mRNA805
mRNA806,mRNA806
mRNA807,mRNA807
mRNA808,mRNA808
mRNA809,mRNA809
mRNA810,mRNA810
mRNA811,mRNA811
mRNA812,mRNA812
mRNA813,mRNA813
mRNA814,mRNA814
mRNA815,mRNA815
mRNA816,mRNA816
mRNA817,mRNA817
mRNA818,mRNA818
mRNA819,mRNA819
mRNA820,mRNA820
mRNA821,mRNA821
mRNA822,mRNA822
mRNA823,mRNA823
mRNA824,mRNA824
mRNA825,mRNA825
mRNA826,mRNA826
mRNA827,mRNA827
mRNA828,mRNA828
mRNA829,mRNA829
mRNA830,mRNA830
mRNA831,mRNA831
mRNA832,mRNA832
mRNA833,mRNA833
mRNA834,mRNA834
mRNA835,mRNA835
mRNA836,mRNA836
mRNA837,mRNA837
mRNA838,mRNA838
mRNA839,mRNA839
mRNA840,mRNA840
mRNA841,mRNA841
mRNA842,mRNA842
mRNA843,mRNA843
mRNA844,mRNA844
mRNA845,mRNA845
mRNA846,mRNA846
mRNA847,mRNA847
mRNA848,mRNA848
mRNA849,mRNA849
mRNA850,mRNA850
mRNA851,mRNA851
mRNA852,mRNA852
mRNA853,mRNA853
mRNA854,mRNA854
mRNA855,mRNA855
mRNA856,mRNA856
mRNA857,mRNA857
mRNA858,mRNA858
mRNA859,mRNA859
mRNA860,mRNA860
mRNA861,mRNA861
mRNA862,mRNA862
mRNA863,mRNA863
mRNA864,mRNA864
mRNA865,mRNA865
mRNA866,mRNA866
mRNA867,mRNA867
mRNA868,mRNA868
mRNA869,mRNA869
mRNA870,mRNA870
mRNA871,mRNA871
mRNA872,mRNA872
mRNA873,mRNA873
mRNA874,mRNA874
mRNA875,mRNA875
mRNA876,mRNA876
mRNA877,mRNA877
mRNA878,mRNA878
mRNA879,mRNA879
mRNA880,mRNA880
mRNA881,mRNA881
mRNA882,mRNA882
mRNA883,mRNA883
mRNA884,mRNA884
mRNA885,mRNA885
mRNA886,mRNA886
mRNA887,mRNA887
mRNA888,mRNA888
mRNA889,mRNA889
mRNA890,mRNA890
mRNA891,mRNA891
mRNA892,mRNA892
mRNA893,mRNA893
mRNA894,mRNA894
mRNA895,mRNA895
mRNA896,mRNA896
mRNA897,mRNA897
mRNA898,mRNA898
mRNA899,mRNA899
mRNA900,mRNA900
mRNA901,mRNA901
mRNA902,mRNA902
mRNA903,mRNA903
mRNA904,mRNA904
mRNA905,mRNA905
mRNA906,mRNA906
mRNA907,mRNA907
mRNA908,mRNA908
mRNA909,mRNA909
mRNA910,mRNA910
mRNA911,mRNA911
mRNA912,mRNA912
mRNA913,mRNA913
mRNA914,mRNA914
mRNA915,mRNA915
mRNA916,mRNA916
mRNA917,mRNA917
mRNA918,mRNA918
mRNA919,mRNA919
mRNA920,mRNA920
mRNA921,mRNA921
mRNA922,mRNA922
mRNA923,mRNA923
mRNA924,mRNA924
mRNA925,mRNA925
mRNA926,mRNA926
mRNA927,mRNA927
mRNA928,mRNA928
mRNA929,mRNA929
mRNA930,mRNA930
mRNA931,mRNA931
mRNA932,mRNA932
mRNA933,mRNA933
mRNA934,mRNA934
mRNA935,mRNA935
mRNA936,mRNA936
mRNA937,mRNA937
mRNA938,mRNA938
mRNA939,mRNA939
mRNA940,mRNA940
mRNA941,mRNA941
mRNA942,mRNA942
mRNA943,mRNA943
mRNA944,mRNA944
mRNA945,mRNA945
mRNA946,mRNA946
mRNA947,mRNA947
mRNA948,mRNA948
mRNA949,mRNA949
mRNA950,mRNA950
mRNA951,mRNA951
mRNA952,mRNA952
mRNA953,mRNA953
mRNA954,mRNA954
mRNA955,mRNA955
mRNA956,mRNA956
mRNA957,mRNA957
mRNA958,mRNA958
mRNA959,mRNA959
mRNA960,mRNA960
mRNA961,mRNA961
mRNA962,mRNA962
mRNA963,mRNA963
mRNA964,mRNA964
mRNA965,mRNA965
mRNA966,mRNA966
mRNA967,mRNA967
mRNA968,mRNA968
mRNA969,mRNA969
mRNA970,mRNA970
mRNA971,mRNA971
mRNA972,mRNA972
mRNA973,mRNA973
mRNA974,mRNA974
mRNA975,mRNA975
mRNA976,mRNA976
mRNA977,mRNA977
mRNA978,mRNA978
mRNA979,mRNA979
mRNA980,mRNA980
mRNA981,mRNA981
mRNA982,mRNA982
mRNA983,mRNA983
mRNA984,mRNA984
mRNA985,mRNA985
mRNA986,mRNA986
mRNA987,mRNA987
mRNA988,mRNA988
mRNA989,mRNA989
mRNA990,mRNA990
mRNA991,mRNA991
mRNA992,mRNA992
mRNA993,mRNA993
mRNA994,mRNA994
mRNA995,mRNA995
mRNA996,mRNA996
mRNA997,mRNA997
mRNA998,mRNA998
mRNA999,mRNA999
mRNA1000,mRNA1000
mRNA1001,mRNA1001
mRNA1002,mRNA1002
mRNA1003,mRNA1003
mRNA1004,mRNA1004
mRNA1005,mRNA1005
mRNA1006,mRNA1006
mRNA1007,mRNA1007
mRNA1008,mRNA1008
mRNA1009,mRNA1009
mRNA1010,mRNA1010
mRNA1011,mRNA1011
mRNA1012,mRNA1012
mRNA1013,mRNA1013
mRNA1014,mRNA1014
mRNA1015,mRNA1015
mRNA1016,mRNA1016
mRNA1017,mRNA1017
mRNA1018,mRNA1018
mRNA1019,mRNA1019
mRNA1020,mRNA1020
mRNA1021,mRNA1021
mRNA1022,mRNA1022
mRNA1023,mRNA1023
mRNA1024,mRNA1024
mRNA1025,mRNA1025
mRNA1026,mRNA1026
mRNA1027,mRNA1027
mRNA1028,mRNA1028
mRNA1029,mRNA1029
mRNA1030,mRNA1030
mRNA1031,mRNA1031
mRNA1032,mRNA1032
mRNA1033,mRNA1033
mRNA1034,mRNA1034
mRNA1035,mRNA1035
mRNA1036,mRNA1036
mRNA1037,mRNA1037
mRNA1038,mRNA1038
mRNA1039,mRNA1039
mRNA1040,mRNA1040
mRNA1041,mRNA1041
mRNA1042,mRNA1042
mRNA1043,mRNA1043
mRNA1044,mRNA1044
mRNA1045,mRNA1045
mRNA1046,mRNA1046
mRNA1047,mRNA1047
mRNA1048,mRNA1048
mRNA1049,mRNA1049
mRNA1050,mRNA1050
mRNA1051,mRNA1051
mRNA1052,mRNA1052
mRNA1053,mRNA1053
mRNA1054,mRNA1054
mRNA1055,mRNA1055
mRNA1056,mRNA1056
mRNA1057,mRNA1057
mRNA1058,mRNA1058
mRNA1059,mRNA1059
mRNA1060,mRNA1060
mRNA1061,mRNA1061
mRNA1062,mRNA1062
mRNA1063,mRNA1063
mRNA1064,mRNA1064
mRNA1065,mRNA1065
mRNA1066,mRNA1066
mRNA1067,mRNA1067
mRNA1068,mRNA1068
mRNA1069,mRNA1069
mRNA1070,mRNA1070
mRNA1071,mRNA1071
mRNA1072,mRNA1072
mRNA1073,mRNA1073
mRNA1074,mRNA1074
mRNA1075,mRNA1075
mRNA1076,mRNA1076
mRNA1077,mRNA1077
mRNA1078,mRNA1078
mRNA1079,mRNA1079
mRNA1080,mRNA1080
mRNA1081,mRNA1081
mRNA1082,mRNA1082
mRNA1083,mRNA1083
mRNA1084,mRNA1084
mRNA1085,mRNA1085
mRNA1086,mRNA1086
mRNA1087,mRNA1087
mRNA1088,mRNA1088
